JURISDICTION,POPULATION,GRAND TOTAL,"OVERALL CRIME RATE PER 100,000 PEOPLE"
Allegany County,75763.41304347826,2348.086956521739,3108.1391304347826
Anne Arundel County,466645.10869565216,18952.239130434784,4201.091304347827
Baltimore City,703032.3913043478,61800.239130434784,8673.347826086956
Baltimore County,738704.9565217391,36714.282608695656,5076.184782608696
Calvert County,64829.15217391304,1396.2826086956522,2314.4347826086955
Caroline County,28570.391304347828,801.3913043478261,2785.5021739130434
Carroll County,137554.39130434784,2782.5652173913045,2101.145652173913
Cecil County,81941.67391304347,2852.2608695652175,3525.9217391304346
Charles County,114610.60869565218,4006.3478260869565,3675.3956521739133
Dorchester County,31123.0,1287.4782608695652,4142.184782608696
Frederick County,179943.76086956522,4399.826086956522,2657.863043478261
Garrett County,28518.565217391304,571.4347826086956,2010.963043478261
Harford County,202867.26086956522,5314.065217391304,2780.9065217391303
Howard County,218606.34782608695,7215.739130434783,3735.8086956521743
Kent County,18595.782608695652,441.19565217391306,2405.391304347826
Montgomery County,820118.0869565217,26261.565217391304,3414.7391304347825
Prince George's County,782362.195652174,46368.108695652176,6067.378260869566
Queen Anne's County,37769.15217391304,880.1739130434783,2461.371739130435
Somerset County,23322.17391304348,690.6521739130435,2990.858695652174
St. Mary's County,84484.43478260869,2282.9565217391305,2804.271739130435
Talbot County,32251.521739130436,990.5869565217391,3150.0086956521736
Washington County,130599.89130434782,3407.4565217391305,2641.895652173913
Wicomico County,81965.17391304347,4024.717391304348,5000.923913043478
Worcester County,41527.67391304348,2636.6521739130435,6799.223913043478
